word,word_count,rank,,Total,120432
kallelse,49,303,,,
goda,48,304,,,
infra,48,305,,,
regeringen,48,306,,,
syfte,48,307,,,
hjälp,48,308,,,
mest,48,309,,,
går,48,310,,,
dag,48,311,,,
antal,48,312,,,
såsom,47,313,,,
ingen,47,314,,,
menar,47,315,,,
tillgång,47,316,,,
kommunens,47,317,,,
ordfrande,47,318,,,
14,46,319,,,
komma,46,320,,,
respekt,46,321,,,
riskerar,46,322,,,
sådana,46,323,,,
vidare,46,324,,,
dels,46,325,,,
medan,46,326,,,
hos,46,327,,,
9,46,328,,,
patienter,46,329,,,
grad,45,330,,,
ledamter,45,331,,,
skapar,45,332,,,
sedan,45,333,,,
blivit,45,334,,,
senaste,45,335,,,
skall,45,336,,,
tas,45,337,,,
kat,45,338,,,
kultur,44,339,,,
gemenskap,44,340,,,
lika,44,341,,,
sådan,44,342,,,
2017,44,343,,,
hot,44,344,,,
kad,44,345,,,
aktivt,44,346,,,
verksamheter,44,347,,,
verksamheten,44,348,,,
kraftigt,43,349,,,
stre,43,350,,,
offentliga,43,351,,,
välja,43,352,,,
hålla,43,353,,,
2019,42,354,,,
bästa,42,355,,,
bygga,42,356,,,
gr,42,357,,,
trots,42,358,,,
viktigaste,42,359,,,
insatser,42,360,,,
använda,42,361,,,
liv,42,362,,,
roll,42,363,,,
strsta,42,364,,,
oavsett,42,365,,,
ungdomar,42,366,,,
kommun-eller,42,367,,,
nordiska,41,368,,,
plats,41,369,,,
regler,41,370,,,
område,41,371,,,
uppehållstillstånd,41,372,,,
uppgifter,41,373,,,
frågor,41,374,,,
längre,41,375,,,
polis,41,376,,,
visar,41,377,,,
vriga,41,378,,,
våld,40,379,,,
säkerställa,40,380,,,
redan,40,381,,,
er,40,382,,,
utifrån,40,383,,,
mål,40,384,,,
distriktsstämmoombud,40,385,,,
valberedning,40,386,,,
identitet,39,387,,,
grunden,39,388,,,
mindre,39,389,,,
satsningar,39,390,,,
tydligt,39,391,,,
stark,39,392,,,
länge,39,393,,,
mjligheter,39,394,,,
fljd,39,395,,,
person,39,396,,,
vården,39,397,,,
betydelse,39,398,,,
gemensam,38,399,,,
starkt,38,400,,,
varandra,38,401,,,
motverka,38,402,,,
därmed,38,403,,,
utsatta,38,404,,,
hänsyn,38,405,,,
majoritet,38,406,,,
arbetsmarknaden,38,407,,,
eleverna,38,408,,,
kommunikation,38,409,,,
tillgänglighet,38,410,,,
sjukvården,38,411,,,
valberedningens,38,412,,,
valsedel,38,413,,,
inf,37,414,,,
kompetens,37,415,,,
resultat,37,416,,,
ytterligare,37,417,,,
positivt,37,418,,,
kunskap,37,419,,,
utsatthet,37,420,,,
bidra,37,421,,,
andel,37,422,,,
friskolor,37,423,,,
fokus,36,424,,,
ej,36,425,,,
särskilda,36,426,,,
hälsa,36,427,,,
utbildningar,36,428,,,
styrelsen,36,429,,,
nomineringar,36,430,,,
demokrati,35,431,,,
åren,35,432,,,
området,35,433,,,
mlighet,35,434,,,
skriftligen,35,435,,,
långt,34,436,,,
utvecklingen,34,437,,,
medel,34,438,,,
parti,34,439,,,
fått,34,440,,,
särskild,34,441,,,
media,34,442,,,
ohälsa,34,443,,,
kap,34,444,,,
ntu,34,445,,,
omrstning,34,446,,,
landsdagarsombud,34,447,,,
fria,33,448,,,
